ajhmm
=========== Running FOLD 1 ==============
Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2         0.0270129   6.69965e-05    0.00107549
       3       1.55002e-05   0.000143475    0.00125041
       4       2.12669e-05   0.000240285    0.00147827
       5       3.11945e-05   0.000370895    0.00176998
       6       4.72549e-05   0.000553749    0.00213869
       7       7.26798e-05   0.000815278    0.00260865
       8       0.000112627    0.00119389    0.00328698
       9       0.000175246    0.00174498     0.0041332
      10       0.000273343    0.00254633    0.00518253
      11       0.000426857    0.00370111    0.00646837
      12       0.000666263    0.00533119    0.00801111
      13        0.00103632    0.00754473    0.00979559
      14        0.00159733     0.0103523     0.0117334
      15        0.00241557     0.0135141     0.0136155
      16        0.00352677       0.01638     0.0150915
      17        0.00486077     0.0179627     0.0157494
      18        0.00616479     0.0174997     0.0153421
      19        0.00703702     0.0151248     0.0140283
      20        0.00713176     0.0117148     0.0123621
      21        0.00641248    0.00810504     0.0109532
      22        0.00523129    0.00482868     0.0100935
      23        0.00409142     0.0027431    0.00968932
      24         0.0032959    0.00301376    0.00945377
      25         0.0028492    0.00299904    0.00910649
      26        0.00260302    0.00276341    0.00847606
      27        0.00240833    0.00235568    0.00752812
      28        0.00217887    0.00184145    0.00634562
      29        0.00189415    0.00129973    0.00513092
      30        0.00157642   0.000801127    0.00397995
      31        0.00126218    0.00038996    0.00297602
      32       0.000981256   0.000107453    0.00216265
      33       0.000748746   0.000224127    0.00174538
      34       0.000566824   0.000318553    0.00143192
      35       0.000430057   0.000395299    0.00120003
      36       0.000330129   0.000458941    0.00103332
      37       0.000258663   0.000513758   0.000917325
      38       0.000208462   0.000563415   0.000840311
      39       0.000173824   0.000610767   0.000793131
      40       0.000150432   0.000657828   0.000768798
      41       0.000135093   0.000705854   0.000792655
      42       0.000125482   0.000755466   0.000870297
      43       0.000119901   0.000806779   0.000950075
      44       0.000117113   0.000859514    0.00103114
      45       0.000116201   0.000913094    0.00111249
      46       0.000116477   0.000966727    0.00119295
      47       0.000117418    0.00101947    0.00127126
      48        0.00011862    0.00107029    0.00134609
      49       0.000119768    0.00111812    0.00141608
      50       0.000120621    0.00116195    0.00147996
      51       0.000120999    0.00120082    0.00153655
      52       0.000120773    0.00123391    0.00158484
      53       0.000119864    0.00126057    0.00162404
      54       0.000118237    0.00128033    0.00165362
      55       0.000115894    0.00129295    0.00167329
      56       0.000112869    0.00129838    0.00168305
      57       0.000109225    0.00129677    0.00168316
      58       0.000105042    0.00128844    0.00167408
      59       0.000100414    0.00127386    0.00165648
      60       9.54392e-05    0.00125361    0.00163115
      61       9.02185e-05    0.00122832    0.00159898
      62       8.48477e-05    0.00119869    0.00156091
      63       7.94151e-05    0.00116541    0.00151789
      64       7.39992e-05    0.00112916    0.00147085
      65       6.86675e-05     0.0010906    0.00142069
      66       6.34757e-05    0.00105032    0.00136821
      67       5.84686e-05    0.00100889    0.00131417
      68       5.36803e-05   0.000966784    0.00125923
      69       4.91354e-05   0.000924442    0.00120396
      70       4.48502e-05   0.000882236    0.00114887
      71       4.08338e-05   0.000840478    0.00109438
      72       3.70892e-05   0.000799433    0.00104083
      73       3.36147e-05   0.000759312   0.000988502
      74       3.04047e-05   0.000720288   0.000937623
      75       2.74505e-05    0.00068249   0.000888363
      76       2.47413e-05   0.000646018   0.000840847
      77       2.22647e-05   0.000610939   0.000795164
      78       2.00072e-05   0.000577298   0.000751368
      79       1.79548e-05   0.000545118   0.000709487
      80       1.60934e-05   0.000514404   0.000669524
      81       1.44089e-05   0.000485148   0.000631466
      82       1.28875e-05   0.000457327   0.000595284
      83       1.15159e-05   0.000430913   0.000560936
      84       1.02813e-05   0.000405869   0.000528373
      85       9.17182e-06   0.000382151   0.000497538
      86       8.17609e-06   0.000359714   0.000468368
      87       7.28357e-06   0.000338506   0.000440798
      88       6.48448e-06   0.000318478   0.000414762
      89        5.7698e-06   0.000299578   0.000390189
      90       5.13122e-06   0.000281752   0.000367013
      91       4.56113e-06   0.000264948   0.000345165
      92       4.05261e-06   0.000249117   0.000324579
      93       3.59932e-06   0.000234207   0.000305189
      94       3.19555e-06    0.00022017   0.000286932
      95       2.83611e-06   0.000206959   0.000269747
      96        2.5163e-06   0.000194529   0.000253576
      97       2.23192e-06   0.000182837   0.000238362
      98       1.97914e-06    0.00017184   0.000224051
      99       1.75456e-06   0.000161499   0.000210592
     100       1.55512e-06   0.000151776   0.000197935
     101       1.37805e-06   0.000142636   0.000186035
     102       1.22091e-06   0.000134045   0.000174848
     103        1.0815e-06    0.00012597   0.000164331
     104       9.57849e-07    0.00011838   0.000154445
     105       8.48206e-07   0.000111248   0.000145153
     106       7.51008e-07   0.000104545    0.00013642
     107       6.64861e-07   9.82462e-05   0.000128212
     108       5.88525e-07   9.23273e-05   0.000120498
